,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
30,2022-12-17,H,DAL,W,100,99,40,94,.426,7,36,.194,13,22,.591,9,51,23,6,5,10,24,98.6,97.6,91.9,.234,.383,.482,53.1,57.5,5.9,12.8,.463,8.8,18.4,.138,.494,10.2,89.4,.136
31,2022-12-19,H,UTA,W,122,99,43,70,.614,15,26,.577,21,26,.808,4,45,24,5,4,21,20,124.2,100.8,98.2,.371,.371,.749,56.3,55.8,5.1,6.8,.721,20.5,16.7,.300,.441,12.0,73.2,.183
32,2022-12-21,H,MIL,W,114,106,41,85,.482,10,32,.313,22,28,.786,9,37,22,8,3,10,21,118.8,110.4,96.0,.329,.376,.586,44.6,53.7,8.3,5.7,.541,9.3,21.4,.259,.548,17.0,68.3,.181
33,2022-12-23,H,TOR,L,107,118,39,76,.513,11,33,.333,18,30,.600,6,35,27,9,4,14,17,110.9,122.3,96.5,.395,.434,.600,43.8,69.2,9.3,8.5,.586,13.6,15.0,.237,.613,16.4,72.5,.179
34,2022-12-26,H,BRK,L,117,125,39,82,.476,13,36,.361,26,30,.867,10,33,21,8,3,12,14,123.3,131.7,94.9,.366,.439,.614,46.5,53.8,8.4,5.8,.555,11.2,24.4,.317,.683,14.4,76.7,.159
35,2022-12-29,A,IND,L,126,135,50,96,.521,12,28,.429,14,20,.700,17,44,29,7,4,10,17,131.5,140.8,95.8,.208,.292,.601,57.9,58.0,7.3,7.4,.583,8.7,37.8,.146,.676,7.8,87.1,.235
36,2022-12-31,A,CHI,W,103,102,39,85,.459,13,38,.342,12,19,.632,15,50,20,9,5,20,18,106.8,105.7,96.5,.224,.447,.552,55.6,51.3,9.3,8.3,.535,17.6,32.6,.141,.525,14.1,79.5,.210
37,2023-01-02,H,CHI,W,145,134,48,92,.522,16,46,.348,33,45,.733,13,47,27,1,3,10,27,134.6,124.4,97.5,.489,.500,.648,52.8,56.3,0.9,4.8,.609,8.2,26.5,.359,.547,6.0,85.0,.316
38,2023-01-04,H,PHO,W,90,88,30,77,.390,11,36,.306,19,23,.826,7,46,15,9,4,14,17,97.2,95.1,92.6,.299,.468,.517,48.4,50.0,9.7,7.5,.461,13.8,14.6,.247,.457,12.8,83.0,.173
39,2023-01-06,A,DEN,L,108,121,40,88,.455,10,26,.385,18,32,.563,18,40,30,7,5,6,18,122.2,136.9,88.4,.364,.295,.529,44.9,75.0,7.9,10.9,.511,5.6,33.3,.205,.636,11.6,62.9,.222
40,2023-01-08,A,PHO,W,112,98,45,78,.577,11,29,.379,11,17,.647,3,39,29,8,5,14,12,116.2,101.7,96.4,.218,.372,.655,52.0,64.4,8.3,8.6,.647,14.1,9.1,.141,.524,15.3,85.7,.119
41,2023-01-10,A,UTA,L,114,116,42,90,.467,10,37,.270,20,24,.833,7,37,18,7,7,5,25,116.3,118.3,98.1,.267,.411,.567,40.7,42.9,7.1,13.7,.522,4.7,15.2,.222,.494,12.7,66.7,.345
42,2023-01-12,A,POR,W,119,113,44,89,.494,7,22,.318,24,31,.774,12,44,28,6,1,11,19,119.6,113.5,99.5,.348,.247,.580,55.0,63.6,6.0,2.2,.534,9.7,27.9,.270,.583,15.0,86.5,.282
43,2023-01-14,A,MIN,L,102,110,37,76,.487,8,28,.286,20,23,.870,8,40,24,5,2,18,17,108.2,116.7,94.3,.303,.368,.592,56.3,64.9,5.3,3.8,.539,17.3,22.9,.263,.619,13.1,88.9,.138
44,2023-01-16,H,NOP,W,113,103,39,80,.488,9,28,.321,26,33,.788,13,43,22,5,4,15,19,118.7,108.2,95.2,.413,.350,.598,60.6,56.4,5.3,8.3,.544,13.7,34.2,.325,.573,16.7,90.9,.227
45,2023-01-18,A,MEM,L,114,115,42,82,.512,16,35,.457,14,21,.667,11,47,29,4,7,16,17,119.3,120.3,95.6,.256,.427,.625,52.8,69.0,4.2,11.1,.610,14.9,28.9,.171,.510,7.0,70.6,.165
46,2023-01-20,H,GSW,L,114,120,42,84,.500,14,33,.424,16,19,.842,10,35,24,7,8,15,15,120.4,126.8,94.7,.226,.393,.617,43.8,57.1,7.4,18.6,.583,14.0,24.4,.190,.622,15.3,64.1,.151
47,2023-01-21,H,MIL,W,114,102,48,86,.558,7,22,.318,11,17,.647,9,41,33,9,3,9,13,121.6,108.8,93.8,.198,.256,.610,53.2,68.8,9.6,6.4,.599,8.8,23.7,.128,.535,13.4,82.1,.116
48,2023-01-24,A,NYK,L,103,105,40,87,.460,12,33,.364,11,16,.688,10,41,29,8,4,10,19,113.8,116.1,90.5,.184,.379,.548,49.4,72.5,8.8,9.5,.529,9.6,23.3,.126,.607,15.1,77.5,.187
49,2023-01-26,A,HOU,W,113,95,40,87,.460,15,36,.417,18,22,.818,11,36,29,12,4,9,16,120.4,101.2,93.9,.253,.414,.584,43.9,72.5,12.8,7.3,.546,8.5,23.4,.207,.546,20.6,71.4,.158
50,2023-01-27,A,OKC,L,100,112,39,88,.443,8,29,.276,14,18,.778,11,37,27,9,5,10,21,109.8,122.9,91.1,.205,.330,.521,44.6,69.2,9.9,8.6,.489,9.4,23.4,.159,.592,13.9,72.2,.289
51,2023-01-29,H,LAC,W,122,99,44,78,.564,20,33,.606,14,19,.737,4,35,35,9,7,10,23,131.2,106.5,93.0,.244,.423,.706,43.8,79.5,9.7,10.0,.692,10.4,11.8,.179,.427,11.4,67.4,.258
52,2023-01-31,H,MIA,L,97,100,40,83,.482,11,40,.275,6,12,.500,5,39,32,9,6,13,20,104.1,107.3,93.2,.145,.482,.549,46.4,80.0,9.7,12.8,.548,12.8,12.2,.072,.526,12.7,79.1,.231
53,2023-02-02,H,MEM,W,128,113,49,91,.538,14,29,.483,16,22,.727,9,41,33,12,7,15,17,124.0,109.5,103.2,.242,.319,.636,48.2,67.3,11.6,10.9,.615,13.0,21.4,.176,.529,15.7,74.4,.241
54,2023-02-05,A,IND,W,122,103,46,88,.523,15,37,.405,15,16,.938,8,46,33,7,5,12,20,123.6,104.4,98.7,.182,.420,.642,52.3,71.7,7.1,8.3,.608,11.2,21.1,.170,.478,11.3,76.0,.163
55,2023-02-06,A,WAS,W,114,91,44,78,.564,12,29,.414,14,20,.700,7,43,26,9,6,16,15,119.7,95.5,95.3,.256,.372,.657,53.8,59.1,9.4,11.1,.641,15.6,18.9,.179,.463,13.4,83.7,.183
56,2023-02-08,H,DET,W,113,85,43,87,.494,6,26,.231,21,25,.840,13,50,30,8,4,10,16,125.2,94.2,90.3,.287,.299,.577,61.0,69.8,8.9,8.2,.529,9.3,36.1,.241,.420,12.8,80.4,.210
57,2023-02-10,A,NOP,W,118,107,48,85,.565,10,28,.357,12,15,.800,12,41,28,9,5,11,22,129.8,117.7,90.9,.176,.329,.644,54.7,58.3,9.9,8.6,.624,10.7,34.3,.141,.530,13.1,72.5,.244
58,2023-02-11,H,CHI,W,97,89,36,86,.419,9,35,.257,16,19,.842,10,39,26,9,4,12,15,102.4,93.9,94.7,.221,.407,.514,47.0,72.2,9.5,7.5,.471,11.3,20.8,.186,.520,21.4,82.9,.162
59,2023-02-13,H,SAS,W,117,109,44,78,.564,9,28,.321,20,25,.800,11,36,21,8,6,14,16,125.9,117.3,92.9,.321,.359,.657,50.7,47.7,8.6,9.4,.622,13.6,31.4,.256,.553,14.6,69.4,.176
60,2023-02-15,A,PHI,L,112,118,41,82,.500,10,30,.333,20,25,.800,10,35,23,7,5,8,17,124.8,131.5,89.8,.305,.366,.602,47.9,56.1,7.8,9.8,.561,7.9,25.0,.244,.583,10.8,75.8,.346
61,2023-02-23,H,DEN,L,109,115,43,90,.478,6,26,.231,17,20,.850,13,41,24,10,2,10,21,119.3,125.8,91.4,.222,.289,.552,46.6,55.8,10.9,4.2,.511,9.2,31.0,.189,.565,14.5,60.9,.238
62,2023-02-24,A,ATL,L,119,136,40,88,.455,13,35,.371,26,29,.897,10,35,20,9,6,11,23,118.0,134.9,100.8,.330,.398,.591,45.5,50.0,8.9,10.5,.528,9.8,21.3,.295,.676,12.8,83.3,.247
63,2023-02-26,H,TOR,W,118,93,44,84,.524,18,36,.500,12,14,.857,8,45,31,7,5,13,17,123.7,97.5,95.4,.167,.429,.654,51.1,70.5,7.3,7.4,.631,12.6,21.1,.143,.435,12.3,74.0,.129
64,2023-03-01,A,BOS,L,113,117,45,92,.489,10,32,.313,13,21,.619,10,38,21,8,3,6,18,120.0,124.3,94.2,.228,.348,.558,46.9,46.7,8.5,6.5,.543,5.6,21.7,.141,.603,11.7,80.0,.295
65,2023-03-04,H,DET,W,114,90,45,91,.495,14,34,.412,10,18,.556,8,39,29,14,8,11,18,113.9,89.9,100.1,.198,.374,.576,44.3,64.4,14.0,14.0,.571,10.0,17.8,.110,.444,20.0,72.1,.222
66,2023-03-06,H,BOS,W,118,114,43,96,.448,12,34,.353,20,25,.800,16,58,27,4,7,15,20,113.1,109.3,94.5,.260,.354,.551,52.7,62.8,3.8,13.2,.510,12.3,30.2,.208,.495,9.8,73.7,.139
67,2023-03-08,A,MIA,W,104,100,39,80,.488,9,28,.321,17,19,.895,7,32,26,13,3,15,23,111.5,107.3,93.2,.238,.350,.589,46.4,66.7,13.9,7.3,.544,14.5,20.6,.213,.557,21.0,71.4,.314
68,2023-03-10,A,MIA,L,115,119,40,86,.465,18,43,.419,17,21,.810,8,34,25,5,6,11,20,120.6,124.8,95.4,.244,.500,.604,42.5,62.5,5.2,11.3,.570,10.4,18.6,.198,.598,14.8,70.3,.256
69,2023-03-12,A,CHO,W,114,108,41,87,.471,7,27,.259,25,34,.735,11,40,18,8,3,10,22,114.7,108.7,99.4,.391,.310,.559,48.2,43.9,8.0,5.1,.511,8.9,23.4,.287,.575,17.5,80.6,.200
70,2023-03-14,A,CHO,W,120,104,45,88,.511,14,30,.467,16,19,.842,8,30,29,8,6,8,19,127.5,110.5,94.1,.216,.341,.623,42.9,64.4,8.5,11.3,.591,7.7,19.0,.182,.605,18.7,78.6,.158
71,2023-03-15,H,PHI,L,109,118,40,85,.471,14,41,.341,15,22,.682,12,33,20,6,2,10,18,121.1,131.1,90.0,.259,.482,.576,41.8,50.0,6.7,5.1,.553,9.6,26.7,.176,.633,17.2,61.8,.307
72,2023-03-17,H,WAS,W,117,94,48,87,.552,4,19,.211,17,22,.773,9,41,31,9,7,10,19,123.3,99.1,94.9,.253,.218,.605,51.9,64.6,9.5,13.2,.575,9.4,22.0,.195,.513,15.9,84.2,.211
73,2023-03-21,A,BRK,W,115,109,42,83,.506,14,29,.483,17,21,.810,8,34,23,6,3,14,20,120.8,114.5,95.2,.253,.349,.623,41.0,54.8,6.3,5.1,.590,13.2,21.1,.205,.495,13.5,57.8,.196
74,2023-03-23,A,BRK,W,116,114,42,89,.472,12,32,.375,20,26,.769,13,40,24,7,7,9,21,122.3,120.2,94.9,.292,.360,.577,48.8,57.1,7.4,14.9,.539,8.2,28.3,.225,.556,13.9,75.0,.296
75,2023-03-26,H,HOU,W,108,91,39,83,.470,9,30,.300,21,24,.875,13,41,20,5,7,9,16,124.3,104.7,86.9,.289,.361,.577,53.2,51.3,5.8,12.7,.524,8.8,35.1,.253,.475,15.4,70.0,.188
76,2023-03-28,A,ATL,L,118,120,47,93,.505,9,25,.360,15,22,.682,10,40,20,5,6,8,24,119.7,121.7,98.6,.237,.269,.575,44.0,42.6,5.1,9.7,.554,7.2,21.3,.161,.528,10.4,68.2,.292
77,2023-03-31,H,NYK,L,116,130,44,86,.512,17,37,.459,11,13,.846,3,33,33,2,9,10,21,121.7,136.4,95.3,.151,.430,.632,40.7,75.0,2.1,15.8,.610,9.8,8.6,.128,.618,6.3,65.2,.161
78,2023-04-02,H,IND,W,115,105,44,90,.489,9,24,.375,18,26,.692,13,43,23,7,7,10,22,119.4,109.0,96.3,.289,.267,.567,49.4,52.3,7.3,11.9,.539,9.0,28.3,.200,.488,13.5,73.2,.289
79,2023-04-04,A,ORL,W,117,113,42,84,.500,15,31,.484,18,20,.900,5,30,23,3,7,8,16,125.2,120.9,93.5,.238,.369,.630,39.0,54.8,3.2,10.6,.589,7.9,12.8,.214,.562,11.9,65.8,.146
80,2023-04-06,A,ORL,W,118,94,46,88,.523,18,38,.474,8,9,.889,9,42,31,13,7,16,21,119.6,95.3,98.7,.102,.432,.642,51.9,67.4,13.2,15.9,.625,14.8,23.1,.091,.476,18.7,78.6,.181
81,2023-04-09,H,CHO,L,95,106,35,89,.393,10,37,.270,15,16,.938,11,44,27,9,5,16,24,95.6,106.7,99.4,.180,.416,.495,47.3,77.1,9.1,10.2,.449,14.3,22.0,.169,.494,16.0,76.7,.321
